#t=1499.9999999987808 
# x rho, U:x, U:y, T, Q:x, p
-2.616820764472958189e-20 2.521359003320662873e-01 -4.611631246131826225e-04 -2.497573068077972778e+02 2.731428157275842636e+02 -2.882567165120964546e+03 1.432956568027629874e+04
7.142857142857139327e-05 2.430301614255437892e-01 -1.258894735939583619e-04 -2.139686660510799072e+02 2.842348594938775932e+02 -2.481923213624363143e+03 1.437295526360836448e+04
1.428571428571428137e-04 2.354348448499556101e-01 1.126246664684354233e-04 -1.770662807203259490e+02 2.935094033627789827e+02 -2.055700218654133550e+03 1.437809396953664873e+04
2.142857142857142476e-04 2.293499506053035264e-01 2.400539009875723106e-04 -1.396685805660464723e+02 3.007329204597137391e+02 -1.617043760998604739e+03 1.435119881649577292e+04
2.857142857142856815e-04 2.247754786915853731e-01 2.448078393745359033e-04 -1.024892428554094863e+02 3.059004892736288070e+02 -1.181012500215686032e+03 1.430664039791122195e+04
3.571428571428570883e-04 2.217114291088035927e-01 1.191960099110621530e-04 -6.630164307504689702e+01 3.092705315002376665e+02 -7.637750571817224454e+02 1.426708275570875594e+04
4.285714285714286036e-04 2.201578018569563533e-01 -1.396393593865611152e-04 -3.189199855429338015e+01 3.113593070671342389e+02 -3.815280983675652919e+02 1.426279009571124698e+04
5.000000000000000104e-04 2.201145969360435439e-01 -5.291908792851089368e-04 -6.312184226676206648e-03 3.128896401779269354e+02 -4.925667433234329451e+01 1.433007904417863392e+04
4.999999999999999020e-04 2.201145969360419063e-01 5.291908759292479917e-04 6.312184970183916041e-03 3.128896401779289249e+02 4.925667452557876658e+01 1.433007904417861755e+04
5.714285714285713630e-04 2.201578018569666506e-01 1.396393566561916094e-04 3.189199855498590708e+01 3.113593070671415148e+02 3.815280985155333155e+02 1.426279009571224742e+04
6.428571428571427156e-04 2.217114291088219391e-01 -1.191960119722907280e-04 6.630164307566239756e+01 3.092705315002311295e+02 7.637750573149785396e+02 1.426708275570963451e+04
7.142857142857141767e-04 2.247754786916090486e-01 -2.448078407599927025e-04 1.024892428559260935e+02 3.059004892736048191e+02 1.181012500307635491e+03 1.430664039791160576e+04
7.857142857142856377e-04 2.293499506053260084e-01 -2.400539021186708349e-04 1.396685805664465363e+02 3.007329204596775867e+02 1.617043761073578935e+03 1.435119881649545277e+04
8.571428571428572072e-04 2.354348448499746504e-01 -1.126246671538947488e-04 1.770662807205970353e+02 2.935094033627412955e+02 2.055700218719488475e+03 1.437809396953596479e+04
9.285714285714286682e-04 2.430301614255543641e-01 1.258894732407914846e-04 2.139686660512153082e+02 2.842348594938517863e+02 2.481923213679249784e+03 1.437295526360768599e+04
1.000000000000000021e-03 2.521359003320638448e-01 4.611631245594643622e-04 2.497573068077959704e+02 2.731428157275889248e+02 2.882567165197919621e+03 1.432956568027640606e+04
