#t=1499.9999999987808 
# x rho, U:x, U:y, T, Q:x, p
-2.616820764472958189e-20 2.521349635681745527e-01 -4.579216145843018212e-04 -2.497573498543915491e+02 2.731428132185402546e+02 -2.882944295920828154e+03 1.432951230982026937e+04
7.142857142857139327e-05 2.430296666284038065e-01 -1.250396484864851258e-04 -2.139686005663179174e+02 2.842344026892649254e+02 -2.482128733865734375e+03 1.437290290172304412e+04
1.428571428571428137e-04 2.354345754761734411e-01 1.117763424045427974e-04 -1.770662979114319455e+02 2.935086552808286342e+02 -2.055781451046083475e+03 1.437804087266094575e+04
2.142857142857142476e-04 2.293496901114853714e-01 2.383043542023223125e-04 -1.396687884638573962e+02 3.007321400682145054e+02 -1.617052916914805564e+03 1.435114527569934216e+04
2.857142857142856815e-04 2.247750105343369331e-01 2.430372397667144961e-04 -1.024896478810718605e+02 3.058999964526011581e+02 -1.181003743019507056e+03 1.430658755169930737e+04
3.571428571428570883e-04 2.217105367447314013e-01 1.183390790698221075e-04 -6.630214280672103655e+01 3.092706613299678224e+02 -7.638014543082397267e+02 1.426703132147590259e+04
4.285714285714286036e-04 2.201562687426673048e-01 -1.386288133938533718e-04 -3.189238877075077028e+01 3.113603654380585795e+02 -3.816391221122476054e+02 1.426273925549259184e+04
5.000000000000000104e-04 2.201122065281432838e-01 -5.253791823250805694e-04 -6.308665546200529876e-03 3.128918736593649328e+02 -4.949686387199798077e+01 1.433002571234125935e+04
4.999999999999999020e-04 2.201122065281446438e-01 5.253791827949793204e-04 6.308666289078752355e-03 3.128918736593645917e+02 4.949686394159670044e+01 1.433002571234133393e+04
5.714285714285713630e-04 2.201562687428329501e-01 1.386288130541766259e-04 3.189238877142942030e+01 3.113603654378327406e+02 3.816391221993874865e+02 1.426273925549297928e+04
6.428571428571427156e-04 2.217105367450074860e-01 -1.183390798062317252e-04 6.630214280727398091e+01 3.092706613295872558e+02 7.638014544211255270e+02 1.426703132147610995e+04
7.142857142857141767e-04 2.247750105346683069e-01 -2.430372407866093309e-04 1.024896478814646201e+02 3.058999964521489119e+02 1.181003743151065464e+03 1.430658755169924916e+04
7.857142857142856377e-04 2.293496901118150244e-01 -2.383043550533334685e-04 1.396687884640874415e+02 3.007321400677853376e+02 1.617052917030520575e+03 1.435114527569948950e+04
8.571428571428572072e-04 2.354345754764470833e-01 -1.117763427878744965e-04 1.770662979115251687e+02 2.935086552805001929e+02 2.055781451151613055e+03 1.437804087266156785e+04
9.285714285714286682e-04 2.430296666285660934e-01 1.250396484403145660e-04 2.139686005663286892e+02 2.842344026890892223e+02 2.482128733971830115e+03 1.437290290172375717e+04
1.000000000000000021e-03 2.521349635681698897e-01 4.579216151556225896e-04 2.497573498543926576e+02 2.731428132185463369e+02 2.882944296002026476e+03 1.432951230982032394e+04
