#t=1.2000000000000008 
# x rho, U:x, U:y, T, Q:x, Q:y, P:xx, P:yy, P:xy, p
-5.000000000000000000e+00 1.000882648170405183e-03 -2.391972121232886495e-01 -2.755271081786733437e-12 3.485213452570795312e+02 -8.484148490960342626e-01 2.510144791292929015e-09 1.001351429546356400e+02 1.001350083636550039e+02 -3.227525905461599477e-12 1.001397111420518087e+02
-4.998811251807431688e+00 1.000809598206027539e-03 -2.401655274451051369e-01 -1.263575669023456174e-11 3.485490191172590926e+02 -8.342489228063387774e-01 2.456032171626227774e-09 1.001357798868249063e+02 1.001356523658139395e+02 -3.100791103019835262e-12 1.001403532670735927e+02
-4.996062520823964626e+00 1.000646234817006985e-03 -2.422667179172992846e-01 -3.439064409938684319e-11 3.486108702746636823e+02 -8.015930775732061919e-01 2.329954906445512219e-09 1.001371895649961488e+02 1.001370778639408883e+02 -2.827397151856378501e-12 1.001417745641307420e+02
-4.991875323900852202e+00 1.000412270920590652e-03 -2.450973755144861821e-01 -6.444888263490505953e-11 3.486993447010805198e+02 -7.521888721950659162e-01 2.046920617671192586e-09 1.001391676571584526e+02 1.001390786340153909e+02 -2.406204527595299541e-12 1.001437693102260056e+02
-4.986421433706348161e+00 1.000134489449806818e-03 -2.481135479635392938e-01 -9.809825445687542963e-11 3.488041690912378385e+02 -6.886424260216973403e-01 1.564067840750129205e-09 1.001414376447741859e+02 1.001413755763511659e+02 -1.860402413991134225e-12 1.001460590899160223e+02
-4.979924196167464956e+00 9.998433807798482332e-04 -2.507149678423438721e-01 -1.300430510464100873e-10 3.489136418405007021e+02 -6.144400658930978532e-01 8.181396498807662798e-10 1.001436892709109259e+02 1.001436554811493522e+02 -1.221973018058111904e-12 1.001483314771979281e+02
-4.972649627691435370e+00 9.995688113599216808e-04 -2.523465725461245812e-01 -1.552790208764304895e-10 3.490163029828103731e+02 -5.336978129922931302e-01 -2.780457162358603356e-10 1.001456263292826492e+02 1.001456192374519389e+02 -5.060324470356605625e-13 1.001502881330115855e+02
-4.964895557559449557e+00 9.993358940602523315e-04 -2.525941386025704061e-01 -1.699021248264721462e-10 3.491025364366196868e+02 -4.507521763850959595e-01 -1.718485764516514775e-09 1.001470118333562596e+02 1.001470274112930383e+02 2.422701284909039901e-13 1.001516902742139052e+02
-4.956979442440548667e+00 9.991617121539698391e-04 -2.512579878180785098e-01 -1.717840342266616171e-10 3.491658487904383605e+02 -3.696932223170846799e-01 -3.490739834711485268e-09 1.001477032626893475e+02 1.001477358209701123e+02 9.828531146738560719e-13 1.001523941607644872e+02
-4.949225372308562854e+00 9.990533967411748158e-04 -2.483922665391577467e-01 -1.608169623521233269e-10 3.492036238119520704e+02 -2.939798717159802788e-01 -5.536969553070116019e-09 1.001476722974972233e+02 1.001477154638142366e+02 1.709909920041852033e-12 1.001523709710767065e+02
-4.941950803832533268e+00 9.990078348377049323e-04 -2.443029293459340889e-01 -1.389694942556528003e-10 3.492172382346196855e+02 -2.262478123024165011e-01 -7.719563192939405032e-09 1.001470059823267604e+02 1.001470537034095258e+02 2.381751767615762952e-12 1.001517079832835009e+02
-4.935453566293652727e+00 9.990130201214884442e-04 -2.395044376082433035e-01 -1.100682939024014232e-10 3.492115309326559327e+02 -1.683361961756764669e-01 -9.880686625035979759e-09 1.001458892694538321e+02 1.001459366684996581e+02 2.974292330648846666e-12 1.001505910134074924e+02
-4.929999676099148687e+00 9.990507927049542200e-04 -2.346420894108619537e-01 -7.889409372376071750e-11 3.491937255804727442e+02 -1.214673040087496242e-01 -1.187042780328211086e-08 1.001445719045659075e+02 1.001446158586577582e+02 3.461430746859178405e-12 1.001492710963049859e+02
-4.925812479176035374e+00 9.991004909783789915e-04 -2.303926001709722948e-01 -5.074495224013044753e-11 3.491719969102772438e+02 -8.646364006186309237e-02 -1.349691685327811427e-08 1.001433251517673853e+02 1.001433645094227529e+02 3.842029079644620562e-12 1.001480209467010809e+02
-4.923063748192570088e+00 9.991428911940779083e-04 -2.273592312721907926e-01 -3.025639665409259875e-11 3.491539281485228230e+02 -6.390340319025139548e-02 -1.460100553910822713e-08 1.001423955521332374e+02 1.001424309767611192e+02 4.082807789738616888e-12 1.001470884423997916e+02
-4.921875000000000000e+00 9.991636280166757336e-04 -2.259875713077930393e-01 -2.089153863029797598e-11 3.491451800477870506e+02 -5.424134957763573905e-02 -1.509041995346387059e-08 1.001419662357561009e+02 1.001419997357136253e+02 4.179915641867157934e-12 1.001466577048672235e+02
-4.921874999999999112e+00 9.992162671199939124e-04 -2.342850074639319380e-01 -1.226932821359175841e-11 3.491509236518040211e+02 -4.569574291263644450e-01 -1.614924403283741553e-08 1.001491348088362372e+02 1.001488236504513196e+02 6.786484787252392606e-13 1.001535812947348631e+02
-4.920686251807429912e+00 9.992165519588582130e-04 -2.340266882164927509e-01 -1.192900628197600684e-11 3.491514452155239496e+02 -4.460986595550058276e-01 -1.503460730120678457e-08 1.001493043608975455e+02 1.001490052402842394e+02 8.298331329214923045e-13 1.001537594547989869e+02
