surf file from Pizza.py

80 points
80 lines

Points

1 0.00031 4e-06
2 0.00031 6.5e-06
3 0.00031 9e-06
4 0.00031 1.15e-05
5 0.00031 1.4e-05
6 0.00031 1.65e-05
7 0.00031 1.9e-05
8 0.00031 2.15e-05
9 0.00031 2.4e-05
10 0.00031 2.65e-05
11 0.00031 2.9e-05
12 0.00031 3.15e-05
13 0.00031 3.4e-05
14 0.00031 3.65e-05
15 0.00031 3.9e-05
16 0.00031 4.15e-05
17 0.00031 4.4e-05
18 0.00031 4.65e-05
19 0.00031 4.9e-05
20 0.00031 5.15e-05
21 0.00031 5.4e-05
22 0.0003125 5.4e-05
23 0.000315 5.4e-05
24 0.0003175 5.4e-05
25 0.00032 5.4e-05
26 0.0003225 5.4e-05
27 0.000325 5.4e-05
28 0.0003275 5.4e-05
29 0.00033 5.4e-05
30 0.0003325 5.4e-05
31 0.000335 5.4e-05
32 0.0003375 5.4e-05
33 0.00034 5.4e-05
34 0.0003425 5.4e-05
35 0.000345 5.4e-05
36 0.0003475 5.4e-05
37 0.00035 5.4e-05
38 0.0003525 5.4e-05
39 0.000355 5.4e-05
40 0.0003575 5.4e-05
41 0.00036 5.4e-05
42 0.00036 5.15e-05
43 0.00036 4.9e-05
44 0.00036 4.65e-05
45 0.00036 4.4e-05
46 0.00036 4.15e-05
47 0.00036 3.9e-05
48 0.00036 3.65e-05
49 0.00036 3.4e-05
50 0.00036 3.15e-05
51 0.00036 2.9e-05
52 0.00036 2.65e-05
53 0.00036 2.4e-05
54 0.00036 2.15e-05
55 0.00036 1.9e-05
56 0.00036 1.65e-05
57 0.00036 1.4e-05
58 0.00036 1.15e-05
59 0.00036 9e-06
60 0.00036 6.5e-06
61 0.00036 4e-06
62 0.0003575 4e-06
63 0.000355 4e-06
64 0.0003525 4e-06
65 0.00035 4e-06
66 0.0003475 4e-06
67 0.000345 4e-06
68 0.0003425 4e-06
69 0.00034 4e-06
70 0.0003375 4e-06
71 0.000335 4e-06
72 0.0003325 4e-06
73 0.00033 4e-06
74 0.0003275 4e-06
75 0.000325 4e-06
76 0.0003225 4e-06
77 0.00032 4e-06
78 0.0003175 4e-06
79 0.000315 4e-06
80 0.0003125 4e-06

Lines

1 1 2
2 2 3
3 3 4
4 4 5
5 5 6
6 6 7
7 7 8
8 8 9
9 9 10
10 10 11
11 11 12
12 12 13
13 13 14
14 14 15
15 15 16
16 16 17
17 17 18
18 18 19
19 19 20
20 20 21
21 21 22
22 22 23
23 23 24
24 24 25
25 25 26
26 26 27
27 27 28
28 28 29
29 29 30
30 30 31
31 31 32
32 32 33
33 33 34
34 34 35
35 35 36
36 36 37
37 37 38
38 38 39
39 39 40
40 40 41
41 41 42
42 42 43
43 43 44
44 44 45
45 45 46
46 46 47
47 47 48
48 48 49
49 49 50
50 50 51
51 51 52
52 52 53
53 53 54
54 54 55
55 55 56
56 56 57
57 57 58
58 58 59
59 59 60
60 60 61
61 61 62
62 62 63
63 63 64
64 64 65
65 65 66
66 66 67
67 67 68
68 68 69
69 69 70
70 70 71
71 71 72
72 72 73
73 73 74
74 74 75
75 75 76
76 76 77
77 77 78
78 78 79
79 79 80
80 80 1
