#t=2.7999999999999132 
# x rho, U:x, U:y, T, Q:x, Q:y, P:xx, P:yy, P:xy, p
-5.000000000000000000e+00 1.001732185831737690e-04 -4.829674868054952275e-01 -3.136684801614217382e-12 3.486444059833102074e+02 -6.902509844326476518e-01 -3.508546622361673012e-10 1.002581282043358435e+01 1.002550074440378935e+01 9.046876832879707322e-14 1.002600972984529193e+01
-4.998811251807431688e+00 1.001651277362254605e-04 -4.848208444013700213e-01 -5.316211685750221581e-12 3.486759663492189247e+02 -6.801621934590698082e-01 -3.577056559540236194e-10 1.002589856153637982e+01 1.002560066933135552e+01 9.541679635538036875e-14 1.002610745543312021e+01
-4.996062520823964626e+00 1.001467854652162787e-04 -4.889018280464035304e-01 -1.020340387072691313e-11 3.487473393078951744e+02 -6.569887282134383444e-01 -3.762514415124630153e-10 1.002608772105743817e+01 1.002582155171228884e+01 1.084462522765463107e-13 1.002632341063706534e+01
-4.991875323900852202e+00 1.001198267353266226e-04 -4.945692695634957836e-01 -1.728769671072918610e-11 3.488517553340538484e+02 -6.221152560725546898e-01 -4.069620407623063341e-10 1.002635145756325130e+01 1.002613072836124175e+01 1.247436667083324850e-13 1.002662550692150134e+01
-4.986421433706348161e+00 1.000864912566098308e-04 -5.009557777226254505e-01 -2.592456002268589839e-11 3.489799478454584118e+02 -5.774963932742174233e-01 -4.534513048875235402e-10 1.002665077970701901e+01 1.002648401230876907e+01 1.452593697211111177e-13 1.002697033969872642e+01
-4.979924196167464956e+00 1.000494052645110134e-04 -5.070921327132940082e-01 -3.525549951881490753e-11 3.491211080205447388e+02 -5.255846691137554538e-01 -5.112086830178938622e-10 1.002694209829192573e+01 1.002683189475216707e+01 1.633281563100873132e-13 1.002730929480017430e+01
-4.972649627691435370e+00 1.000112712587411518e-04 -5.120608881061849971e-01 -4.452819735398323828e-11 3.492642167138461105e+02 -4.691412841232956432e-01 -5.867788889159352761e-10 1.002718407166483239e+01 1.002712723077042867e+01 1.750013454760401610e-13 1.002759610923955158e+01
-4.964895557559449557e+00 9.997456567062155204e-05 -5.151419969959296630e-01 -5.300980886520520577e-11 3.493993443240415786e+02 -4.110152269157122396e-01 -6.769797797965081153e-10 1.002734406192896088e+01 1.002733249935982762e+01 1.811745044071415099e-13 1.002779401103548196e+01
-4.956979442440548667e+00 9.994128919452359102e-05 -5.159265703293814953e-01 -6.019513000294841037e-11 3.495187221522185155e+02 -3.539227975744635990e-01 -7.784553029284165157e-10 1.002740315263390691e+01 1.002742546061412554e+01 1.793507199897645333e-13 1.002788128011662749e+01
-4.949225372308562854e+00 9.991280418712401238e-05 -5.143801126144308400e-01 -6.576107705640620430e-11 3.496174303565795753e+02 -3.002628495822438626e-01 -8.882404904779059114e-10 1.002735892564821718e+01 1.002740230864992554e+01 1.697719770314081840e-13 1.002785434399821085e+01
-4.941950803832533268e+00 9.988977889938328338e-05 -5.108447868763116295e-01 -6.969234865075101944e-11 3.496936109960461749e+02 -2.519965142686051429e-01 -1.001566668454851162e-09 1.002722555975575958e+01 1.002727782740051232e+01 1.516035308409415157e-13 1.002772792389131951e+01
-4.935453566293652727e+00 9.987224083247872412e-05 -5.059803086901492053e-01 -7.214491538381689278e-11 3.497481932193672378e+02 -2.106043046242830341e-01 -1.109238847772582349e-09 1.002703124706948934e+01 1.002708254287712997e+01 1.307138736043737122e-13 1.002753222529117316e+01
-4.929999676099148687e+00 9.985972395963896243e-05 -5.006532446658493729e-01 -7.338988680549651559e-11 3.497841982035841966e+02 -1.771142328862260473e-01 -1.206042591143212268e-09 1.002681335697934628e+01 1.002685735218379648e+01 1.109973379769983748e-13 1.002730764564956978e+01
-4.925812479176035374e+00 9.985147977591897505e-05 -4.957930315998468340e-01 -7.386673058936928699e-11 3.498057598460426902e+02 -1.521792131441335183e-01 -1.283017014846836571e-09 1.002661214227677000e+01 1.002664651849018007e+01 9.031649116167424784e-14 1.002709787402577746e+01
-4.923063748192570088e+00 9.984671271122664388e-05 -4.922386638438362993e-01 -7.394797561390092044e-11 3.498170412062870014e+02 -1.361760763357910686e-01 -1.336626066434093897e-09 1.002646402734318976e+01 1.002649019441237854e+01 7.622395615486349007e-14 1.002694252683969900e+01
-4.921875000000000000e+00 9.984480942589649512e-05 -4.906121800597353921e-01 -7.393803283538488076e-11 3.498212145569734730e+02 -1.293446753998941101e-01 -1.358709129872289731e-09 1.002639603724822592e+01 1.002641818912008631e+01 6.993234082652625551e-14 1.002687101262993785e+01
-4.921874999999999112e+00 9.984744757266403813e-05 -5.116841556884428321e-01 -7.373903346260783989e-11 3.498369702383454296e+02 -5.838506395306658492e-02 -1.591513654893937314e-09 1.002712371871304597e+01 1.002713018395862399e+01 4.073715382528179907e-14 1.002758756193194500e+01
-4.920686251807429912e+00 9.984719177049335994e-05 -5.113627449743866071e-01 -7.361599418261671666e-11 3.498385181810886593e+02 -5.898012679382855228e-02 -1.556187371024379694e-09 1.002714257320269375e+01 1.002714882164141130e+01 4.709283805159173494e-14 1.002760624145512836e+01
-4.917937520823962849e+00 9.984661108674037903e-05 -5.106297870187820331e-01 -7.334326811993499952e-11 3.498420251363251623e+02 -6.029593363976418208e-02 -1.474783091289323796e-09 1.002718515096184682e+01 1.002719094147670198e+01 5.989060311497006154e-14 1.002764844478629414e+01
-4.913750323900851313e+00 9.984575551353675913e-05 -5.095407278913500759e-01 -7.297005327099564484e-11 3.498471732374673024e+02 -6.213887118089525541e-02 -1.350581252189419994e-09 1.002724727539969152e+01 1.002725248478543030e+01 7.603304822295217224e-14 1.002771007973258044e+01
-4.908296433706347273e+00 9.984469361022238682e-05 -5.081719499257842942e-01 -7.252776666428727895e-11 3.498535272560750968e+02 -6.424686877839824728e-02 -1.193441370061983816e-09 1.002732324150088594e+01 1.002732790473446478e+01 9.598892191737652142e-14 1.002778555468145605e+01
-4.901799196167464956e+00 9.984350608193545890e-05 -5.066147770395589278e-01 -7.203770976094175316e-11 3.498605777663637468e+02 -6.632599882710600581e-02 -1.009325100508279488e-09 1.002740642744974586e+01 1.002741075125592829e+01 1.123558416735485736e-13 1.002786837170137346e+01
-4.894524627691435370e+00 9.984227649546244135e-05 -5.049660863568199431e-01 -7.157760504688751197e-11 3.498678020702338927e+02 -6.809596944173493260e-02 -8.089679671651010838e-10 1.002749013092389774e+01 1.002749447612718114e+01 1.258968254783140677e-13 1.002795194097092413e+01
-4.886770557559450445e+00 9.984108220109625298e-05 -5.033189826959822977e-01 -7.114795149184338325e-11 3.498747234852763199e+02 -6.933321310641818447e-02 -6.045609374523456265e-10 1.002756837725287475e+01 1.002757321210068575e+01 1.306686091777435182e-13 1.002803036854862384e+01
-4.878854442440548667e+00 9.983998678976841877e-05 -5.017548374755554930e-01 -7.084130421334139684e-11 3.498809601801447684e+02 -6.990458384616614340e-02 -4.031873979291651536e-10 1.002763657683500398e+01 1.002764240838394372e+01 1.278871498594333867e-13 1.002809909830150836e+01
-4.871100372308562854e+00 9.983903510820198071e-05 -5.003376969919584027e-01 -7.065278846628660001e-11 3.498862567736461529e+02 -6.978626662016972071e-02 -2.090529774776566572e-10 1.002769193764932787e+01 1.002769923204412450e+01 1.176023690224217696e-13 1.002815531643168256e+01
-4.863825803832533268e+00 9.983825142311881725e-05 -4.991116573302895043e-01 -7.052927872499402618e-11 3.498904948058627724e+02 -6.906490348770980003e-02 -3.612868962832201974e-11 1.002773357950880495e+01 1.002774268397439528e+01 9.945842086033707406e-14 1.002819806664844293e+01
-4.857328566293652727e+00 9.983764080989586897e-05 -4.981013149703069076e-01 -7.048676817462999169e-11 3.498936816448215836e+02 -6.792083713043275961e-02 1.135993287692356159e-10 1.002776234537389932e+01 1.002777342465632415e+01 7.859543252869477084e-14 1.002822807125092019e+01
-4.851874676099148687e+00 9.983719332305821806e-05 -4.973149098768539500e-01 -7.052598005216347674e-11 3.498959208646712113e+02 -6.659628711847230542e-02 2.352171886485227788e-10 1.002778035387075306e+01 1.002779335171146080e+01 5.473778775508284969e-14 1.002824730078723192e+01
-4.847687479176036263e+00 9.983689006952338571e-05 -4.967493622852945934e-01 -7.058011447909523470e-11 3.498973700558564701e+02 -6.535373933608165653e-02 3.264285944669155708e-10 1.002779037823660246e+01 1.002780501058837537e+01 3.490352419316782524e-14 1.002825837482759042e+01
-4.844938748192569200e+00 9.983671002885314714e-05 -4.963961486823968983e-01 -7.062200014827042054e-11 3.498981938987458875e+02 -6.443147609367419482e-02 3.852505196949135893e-10 1.002779516349261435e+01 1.002781094512442195e+01 1.927629513472840757e-14 1.002826390215142460e+01
-4.843750000000000000e+00 9.983663683928503934e-05 -4.962478244512301684e-01 -7.062376101470418606e-11 3.498985188858371771e+02 -6.400645380620990921e-02 4.103894207546994465e-10 1.002779679220303066e+01 1.002781308959430717e+01 1.359531275014021049e-14 1.002826586479582360e+01
-4.843749999999999112e+00 9.983554758798112566e-05 -4.978665255256892186e-01 -7.224277275860551567e-11 3.499021462296390723e+02 -5.187435887296193426e-02 -4.493121028251979211e-10 1.002780553435561650e+01 1.002779984840559813e+01 3.028293679625159761e-14 1.002826041338681939e+01
-4.842561251807430800e+00 9.983552775488900718e-05 -4.975902986301774522e-01 -7.232179510989222171e-11 3.499026981071305613e+02 -5.208706310596463579e-02 -4.296593748598048290e-10 1.002781900617704913e+01 1.002781386469285785e+01 3.738419652264950863e-14 1.002827423810461838e+01
-4.839812520823963737e+00 9.983548238066687315e-05 -4.969580084741817561e-01 -7.241817975354023423e-11 3.499039550876859153e+02 -5.255054940752983822e-02 -3.869892999440287295e-10 1.002784966837040592e+01 1.002784576948409700e+01 5.145084316792315237e-14 1.002830570562930035e+01
-4.835625323900851313e+00 9.983541456436022569e-05 -4.960120731762348023e-01 -7.257126616707776112e-11 3.499058185644071841e+02 -5.318050927419749191e-02 -3.238216278212993730e-10 1.002789506570553257e+01 1.002789301577507253e+01 7.136860871457176697e-14 1.002835230111307574e+01
-4.830171433706347273e+00 9.983532859194409561e-05 -4.948112000344275230e-01 -7.272894212981374496e-11 3.499081528797373153e+02 -5.386327009767915425e-02 -2.437409356863955644e-10 1.002795182287646547e+01 1.002795210170674878e+01 9.233204791356548876e-14 1.002841056704657952e+01
-4.823674196167465844e+00 9.983522965694138144e-05 -4.934267038038513409e-01 -7.278568111980095210e-11 3.499107965786213867e+02 -5.447313455677881694e-02 -1.560709755653926160e-10 1.002801593275145109e+01 1.002801886835923284e+01 1.107428707521940232e-13 1.002847639773241362e+01
-4.816399627691436258e+00 9.983512338071360019e-05 -4.919360554354503812e-01 -7.272901645110385616e-11 3.499135795805051998e+02 -5.489330727791351394e-02 -6.637831420867134458e-11 1.002808319043774432e+01 1.002808894905406234e+01 1.206235523243418012e-13 1.002854548326726736e+01
-4.808645557559450445e+00 9.983501532829795245e-05 -4.904163491873078096e-01 -7.255660509407238592e-11 3.499163401500500186e+02 -5.503555149365779720e-02 1.919902591262458448e-11 1.002814962115049369e+01 1.002815821242214511e+01 1.230810800181679074e-13 1.002861374729933530e+01
-4.800729442440548667e+00 9.983491058394337804e-05 -4.889385441854899317e-01 -7.224167375480821918e-11 3.499189392620313583e+02 -5.485532544780981346e-02 9.658229890086661054e-11 1.002821184077941119e+01 1.002822313603000559e+01 1.124384686820419409e-13 1.002867771608948821e+01
-4.792975372308563742e+00 9.983481343593629130e-05 -4.875631430187706838e-01 -7.179145198985004450e-11 3.499212705070746097e+02 -5.435990155818025416e-02 1.601797635970969988e-10 1.002826730208287742e+01 1.002828106187069857e+01 9.032677212953354091e-14 1.002873477074228425e+01
-4.785700803832533268e+00 9.983472720106991631e-05 -4.863377148976760211e-01 -7.125125732476961156e-11 3.499232644476240353e+02 -5.360810684309355589e-02 2.122986795674102277e-10 1.002831439893594911e+01 1.002833030516851132e+01 6.128975264582010566e-14 1.002878325440324581e+01
-4.779203566293652727e+00 9.983465419593466757e-05 -4.852963652112529114e-01 -7.062977540386660301e-11 3.499248872451893249e+02 -5.270168127389091017e-02 2.496689069256548658e-10 1.002835242435984853e+01 1.002837011203006234e+01 2.558832434096703307e-14 1.002882243001897322e+01
-4.773749676099148687e+00 9.983459583891398151e-05 -4.844609441907446468e-01 -7.004539265648014038e-11 3.499261342973347837e+02 -5.176961553420603157e-02 2.758504154041087709e-10 1.002838140148984714e+01 1.002840048569398412e+01 -9.062561781023847540e-15 1.002885230820914586e+01
-4.769562479176035374e+00 9.983455284701811734e-05 -4.838435260301681140e-01 -6.956919291264373476e-11 3.499270203966635222e+02 -5.094797752446381806e-02 2.941344568168524193e-10 1.002840182639908839e+01 1.002842192156019330e+01 -4.091507899300304359e-14 1.002887338499011882e+01
