#t=2.0000000000000013 
# x rho, U:x, U:y, T, Q:x, Q:y, P:xx, P:yy, P:xy, p
-5.000000000000000000e+00 1.001231325132613130e-04 -3.417954131148976393e-01 -2.784795193873626202e-12 3.485837760626490649e+02 -5.564802215643359640e-01 1.098656357363084875e-10 1.001899648199639792e+01 1.001877506404168017e+01 -1.621404380656268288e-13 1.001925410869923638e+01
-4.998811251807431688e+00 1.001167612648141275e-04 -3.432163544176577430e-01 -3.814999619483919414e-12 3.486086003715598736e+02 -5.473522898242190182e-01 1.174505559648641367e-10 1.001906299385369792e+01 1.001885175037221565e+01 -1.541232198411004213e-13 1.001933001552174751e+01
-4.996062520823964626e+00 1.001023530005866859e-04 -3.463433313785613255e-01 -6.175493640494863198e-12 3.486646233577245084e+02 -5.264198924838155991e-01 1.394209969992599791e-10 1.001920997710547745e+01 1.001902149177490031e+01 -1.381805537145442434e-13 1.001949800772975330e+01
-4.991875323900852202e+00 1.000812737731555328e-04 -3.506807409145512033e-01 -9.590330639521185085e-12 3.487462635964931223e+02 -4.950075438027057295e-01 1.690034639711283149e-10 1.001941560283377086e+01 1.001925972336451842e+01 -1.139596512680066645e-13 1.001973371789424583e+01
-4.986421433706348161e+00 1.000553913995813279e-04 -3.555583685518947101e-01 -1.374408388525477813e-11 3.488458932080761770e+02 -4.549706273789546618e-01 2.046161774714225323e-10 1.001965034494488549e+01 1.001953319972123069e+01 -8.649622126049079706e-14 1.002000416989538856e+01
-4.979924196167464956e+00 1.000268815251795202e-04 -3.602279835374317396e-01 -1.837166520986661869e-11 3.489546618776036553e+02 -4.086052481788695623e-01 2.480584055404014863e-10 1.001988113377050738e+01 1.001980461330964012e+01 -5.557567734128698588e-14 1.002027236535590404e+01
-4.972649627691435370e+00 9.999795902132249073e-05 -3.639823477967720766e-01 -2.298091428331237000e-11 3.490636239612103395e+02 -3.584557237502214999e-01 2.888099967810253108e-10 1.002007649824840030e+01 1.002003833762462470e+01 -2.910677073202826326e-14 1.002050298432786413e+01
-4.964895557559449557e+00 9.997061769180771659e-05 -3.662678822941282109e-01 -2.735292703492579915e-11 3.491648326489620331e+02 -3.071022954034509089e-01 3.322455520233956994e-10 1.002021142096949902e+01 1.002020585685052900e+01 -6.167181507477102804e-15 1.002066777381104679e+01
-4.956979442440548667e+00 9.994641745145656242e-05 -3.667724958797159984e-01 -3.114855499521156437e-11 3.492522338726628277e+02 -2.569594487232804703e-01 3.704434463196040818e-10 1.002027111907595192e+01 1.002029000377648593e+01 1.068972085810377829e-14 1.002074975246319966e+01
-4.949225372308562854e+00 9.992634907101182005e-05 -3.654741914061975794e-01 -3.426194618467527600e-11 3.493222287971077549e+02 -2.101148488248737733e-01 4.029071778442873539e-10 1.002025314903006681e+01 1.002028733338245914e+01 1.978177303244804032e-14 1.002074556421287710e+01
-4.941950803832533268e+00 9.991079361997938231e-05 -3.626424466345881115e-01 -3.662960409658393278e-11 3.493738285264255978e+02 -1.682313875157786798e-01 4.283731075164374006e-10 1.002016750644694376e+01 1.002020826386115182e+01 2.206316149913480407e-14 1.002066561557538016e+01
-4.935453566293652727e+00 9.989957827369108493e-05 -3.587921402964995288e-01 -3.828483654619709963e-11 3.494083920131657806e+02 -1.325208645821124021e-01 4.501412849653948420e-10 1.002003471695962489e+01 1.002007497928119051e+01 1.889058111620245041e-14 1.002053199105432313e+01
-4.929999676099148687e+00 9.989211463054585788e-05 -3.545976383657592490e-01 -3.933109891674458409e-11 3.494290067962454032e+02 -1.037818961322061057e-01 4.651909382453911778e-10 1.001988223896969288e+01 1.001991745073158313e+01 1.429154268350810686e-14 1.002037450076820768e+01
-4.925812479176035374e+00 9.988759262039557420e-05 -3.507812266270158852e-01 -3.995634977331277829e-11 3.494396302130357412e+02 -8.248207768662867145e-02 4.760369719064004570e-10 1.001973977248183267e+01 1.001976823749105527e+01 6.945281283206785537e-15 1.002022551685327656e+01
-4.923063748192570088e+00 9.988519467363015866e-05 -3.479944055202445208e-01 -4.024183364075526638e-11 3.494441460991661188e+02 -6.885932232609043302e-02 4.803889156391698606e-10 1.001963425153412324e+01 1.001965693315222161e+01 1.710304484943263531e-15 1.002011445727986150e+01
-4.921875000000000000e+00 9.988429771247172141e-05 -3.467200801263156662e-01 -4.034073070725673748e-11 3.494454955650517718e+02 -6.305591660931869624e-02 4.820725125476343801e-10 1.001958567114116327e+01 1.001960551919444420e+01 -6.855277844727208578e-16 1.002006317227172438e+01
-4.921874999999999112e+00 9.988671310572842365e-05 -3.602745769124754416e-01 -4.403748451742443283e-11 3.494581376023483017e+02 -4.471371125330438762e-02 2.231054275117604592e-10 1.002020652146971003e+01 1.002020610085704355e+01 3.020329048697697701e-14 1.002066798537723891e+01
-4.920686251807429912e+00 9.988663069694665296e-05 -3.599732540630763977e-01 -4.421204520630953305e-11 3.494589865543024985e+02 -4.486136735505974471e-02 2.006813024434286375e-10 1.002022235147250662e+01 1.002022220496419358e+01 3.098226118755008444e-14 1.002068406167112968e+01
-4.917937520823962849e+00 9.988644304509977862e-05 -3.592876124367553881e-01 -4.458425070079341240e-11 3.494609106045439830e+02 -4.517889754648949513e-02 1.514947579063489426e-10 1.002025813597378701e+01 1.002025861848732546e+01 3.094332165639387400e-14 1.002072040807890474e+01
-4.913750323900851313e+00 9.988616497617798116e-05 -3.582729578604822440e-01 -4.517102880936616299e-11 3.494637369692312063e+02 -4.559845591931024900e-02 8.293062342102303704e-11 1.002031044940366300e+01 1.002031187726102424e+01 3.092706586764024587e-14 1.002077355709755757e+01
-4.908296433706347273e+00 9.988581688175238269e-05 -3.570053033638945217e-01 -4.590227603343781972e-11 3.494672290077018602e+02 -4.602873467652864037e-02 8.536888428961949451e-12 1.002037460930290536e+01 1.002037724517426653e+01 2.925997283454259550e-14 1.002083876845442134e+01
-4.901799196167464956e+00 9.988542301003070010e-05 -3.555748129990210504e-01 -4.668775683135946387e-11 3.494711094645120397e+02 -4.636959268104474258e-02 -6.449485982305596239e-11 1.002044516704789423e+01 1.002044920754622304e+01 2.519289199613610354e-14 1.002091052425758200e+01
-4.894524627691435370e+00 9.988500887026325800e-05 -3.540759726765849158e-01 -4.748721970406268133e-11 3.494750934048890940e+02 -4.652946477248019741e-02 -1.227674097624556975e-10 1.002051658494598207e+01 1.002052215354279419e+01 1.820538997286499824e-14 1.002098321311571638e+01
