#t=2.3998821790563456 
# x rho, U:x, U:y, T, Q:x, Q:y, P:xx, P:yy, P:xy, p
-5.000000000000000000e+00 1.000003411701722098e-05 1.418130795719489082e-03 -7.459113101259961465e-06 3.484327326239210265e+02 5.573149259655061456e-04 -2.467163921799975774e-05 1.000263054702841492e+00 1.000263047678255024e+00 3.809266066208323028e-08 1.000263038357437795e+00
-4.990234375000000000e+00 1.000003405029382517e-05 1.393854729576622783e-03 -8.457944165720806363e-06 3.484328337192505387e+02 -3.496135095452066756e-04 -1.685888539077747363e-04 1.000263346182852953e+00 1.000263324631048167e+00 5.267224458259420612e-08 1.000263321902714830e+00
-4.980468750000000000e+00 1.000003392304448902e-05 1.384450672598702171e-03 1.447129905527793259e-06 3.484328138059169078e+02 -8.858322608892542902e-05 3.777187569179816119e-04 1.000263315206101788e+00 1.000263221306127548e+00 -1.683226748550940802e-07 1.000263252008285475e+00
-4.980468750000000000e+00 1.000003389963460747e-05 1.389675093531175147e-03 -3.653087922711823443e-06 3.484327885821261361e+02 6.764912464427660541e-05 1.021027778844616981e-04 1.000263245448597793e+00 1.000263162611662482e+00 -3.688967910226447317e-08 1.000263177255509950e+00
-4.970703125000000000e+00 1.000003363074775411e-05 1.392739997505277423e-03 -7.229370342394849457e-06 3.484327484041421599e+02 3.329147593278930614e-04 -4.047145807458204939e-05 1.000263006182094294e+00 1.000263027813000249e+00 2.895921204047136279e-08 1.000263035018923663e+00
-4.960937500000000000e+00 1.000003358943182137e-05 1.363636905932639771e-03 -6.202601031733889411e-06 3.484328486750945899e+02 -4.919247922479044613e-04 -1.125310883603010745e-04 1.000263383873878587e+00 1.000263312793329140e+00 1.515666748199953034e-08 1.000263318739013307e+00
-4.960937500000000000e+00 1.000003351943877504e-05 1.372090487809437664e-03 -5.713893368080988336e-06 3.484327980723228393e+02 -1.128551378630243576e-04 -6.678216609940415397e-05 1.000263223337600982e+00 1.000263134373410745e+00 2.451851851565049187e-08 1.000263166470024112e+00
-4.951171875000000000e+00 1.000003326198325811e-05 1.370895348719762498e-03 -3.624411985736920505e-06 3.484327657375067133e+02 1.254838469308725110e-04 -4.754873828980136898e-06 1.000263061801046183e+00 1.000263042234766475e+00 -8.413949672176250425e-09 1.000263047892639090e+00
-4.941406250000000000e+00 1.000003303821780072e-05 1.362082233567195235e-03 -9.654445031581416787e-06 3.484327931753256280e+02 -1.540926930959936986e-04 -2.873462169898271580e-04 1.000263077167022452e+00 1.000263138095652815e+00 1.147217020532370572e-07 1.000263104277373749e+00
-4.941406250000000000e+00 1.000003304812387137e-05 1.360927392743477120e-03 -4.811751914825424381e-06 3.484327862041243975e+02 -1.110841238703721528e-04 -8.422370779799330780e-05 1.000263077652244315e+00 1.000263098266940487e+00 2.881388030533605183e-08 1.000263085255668871e+00
-4.931640625000000000e+00 1.000003281936678444e-05 1.356550545576217653e-03 1.909175613932454335e-06 3.484327528451562443e+02 1.228744708257779720e-04 1.753597531550750487e-04 1.000263001724493561e+00 1.000262930521681248e+00 -7.697868800107010414e-08 1.000262966608794102e+00
-4.921875000000000000e+00 1.000003265979414925e-05 1.341685632784601423e-03 -1.035366475295628295e-05 3.484327835091254997e+02 -2.009126003189347300e-04 -3.220190425715592822e-04 1.000263104078696896e+00 1.000263008113331686e+00 1.491336485020561586e-07 1.000263038675943461e+00
-4.921875000000000000e+00 1.000003264169481700e-05 1.344857773030577134e-03 -9.647596747428721409e-06 3.484327699972633923e+02 -3.476570478670468829e-05 -4.066702279924306880e-04 1.000262993441508819e+00 1.000263019373661466e+00 1.775644463802624360e-07 1.000262998076376419e+00
-4.912109375000000000e+00 1.000003245033909836e-05 1.337695288481383386e-03 2.649906231313705510e-06 3.484327550722421734e+02 8.089443210682851029e-05 2.144825063647309588e-04 1.000262935513028140e+00 1.000262955581498803e+00 -8.719297862033141300e-08 1.000262936089846733e+00
-4.902343750000000000e+00 1.000003220178727498e-05 1.333977562305578481e-03 -1.205228977683803912e-05 3.484327144669110226e+02 3.336127147650654978e-04 -5.671175570501384502e-04 1.000262813811833018e+00 1.000262701328638038e+00 1.954862231455913012e-07 1.000262794660504495e+00
-4.902343749999999112e+00 1.000003224649621673e-05 1.321747873145463336e-03 -8.607580739640667856e-06 3.484327691923918451e+02 -1.984183630482415177e-04 -2.779830141220793042e-04 1.000263104283156013e+00 1.000262873552857368e+00 1.172427519468745966e-07 1.000262956235667966e+00
-4.892578125000000000e+00 1.000003201266417425e-05 1.316342679434930919e-03 -1.845595977418649926e-06 3.484327732646606250e+02 -1.635974660909450540e-04 1.359252246484496200e-04 1.000262968834117583e+00 1.000262970603910118e+00 -2.948566003633001828e-08 1.000262944536850940e+00
-4.882812500000000000e+00 1.000003180815935670e-05 1.312940879049418396e-03 3.506721265866380219e-06 3.484327373800749115e+02 1.617907357344685823e-04 1.299907821739085354e-04 1.000262793401265116e+00 1.000262730402311062e+00 -9.916563063430915630e-08 1.000262821065430074e+00
-4.882812499999999112e+00 1.000003183951769040e-05 1.309533265080019011e-03 -5.585821269843177171e-06 3.484327369479751155e+02 1.423106349613655346e-04 -2.282444966052964413e-04 1.000262867432376801e+00 1.000262746538377101e+00 6.842890324727279538e-08 1.000262822961627718e+00
-4.873046875000000000e+00 1.000003164195229021e-05 1.298906266244588938e-03 -2.247930083735274649e-06 3.484327566675019625e+02 -8.315982616870306492e-05 -5.928220494173916471e-06 1.000262896957625047e+00 1.000262851204507975e+00 1.554667038729358034e-08 1.000262859809762928e+00
-4.863281250000000000e+00 1.000003135003480075e-05 1.301021776455012994e-03 7.362939548298570586e-07 3.484327136081698200e+02 2.824708897100588253e-04 1.638350306681885351e-04 1.000262663730399737e+00 1.000262701096973128e+00 -2.428026941709981466e-08 1.000262706997917750e+00
-4.863281249999999112e+00 1.000003137544518439e-05 1.294903885828285533e-03 -2.401085324564931054e-06 3.484327362452384591e+02 6.827341848218800491e-05 -7.899986316392323808e-05 1.000262787963836608e+00 1.000262748833312454e+00 4.202758314386689202e-08 1.000262774524947718e+00
-4.853515625000000000e+00 1.000003115558411182e-05 1.281292195012863127e-03 -4.759489102898984955e-07 3.484327462468258432e+02 -7.083982417613341809e-05 -7.626308883109922637e-05 1.000262832368084887e+00 1.000262766046952523e+00 -5.701491085021478261e-09 1.000262781245174093e+00
-4.843750000000000000e+00 1.000003088539462512e-05 1.279654411057769715e-03 -4.319041988410988770e-06 3.484327073595799220e+02 2.626243785591190951e-04 -5.909196169487909353e-05 1.000262606758578920e+00 1.000262647319139608e+00 5.323231479661585612e-08 1.000262642583709782e+00
