#t=0.39998036317606694 
# x rho, U:x, U:y, T, Q:x, Q:y, P:xx, P:yy, P:xy, p
-5.000000000000000000e+00 1.000000063638460733e-05 2.751916568080515045e-05 2.473892427119514968e-06 3.484320364340209153e+02 -3.080186005143215554e-04 1.234662239280725365e-04 1.000257712419069911e+00 1.000257699006526169e+00 -5.611054180615192899e-08 1.000257690844925884e+00
-4.990234375000000000e+00 1.000000073707561166e-05 4.258421845776007654e-06 -1.907752165340089855e-06 3.484321228607914236e+02 -8.911491959739625780e-04 -9.017090795626073933e-05 1.000258080741040612e+00 1.000257889338549422e+00 4.619289401797554931e-08 1.000257949025386894e+00
-4.980468750000000000e+00 1.000000044098119606e-05 5.997196793777737327e-05 3.716753966647125779e-06 3.484318053175081218e+02 1.889210837602951732e-03 1.438820712486903403e-04 1.000256863352636749e+00 1.000257030370950151e+00 -7.628778377616755856e-08 1.000257007824207678e+00
-4.980468750000000000e+00 1.000000064791921401e-05 2.307237006134624683e-05 1.230118903948442641e-06 3.484320470788954935e+02 -3.676976929595509604e-04 1.931155562344516363e-05 1.000257719979103843e+00 1.000257711629608304e+00 -1.874261346807197519e-08 1.000257722557348128e+00
-4.970703125000000000e+00 1.000000057062941761e-05 2.269613386058142698e-05 -1.818198352685665937e-06 3.484320252077034183e+02 -7.520818017976709121e-05 -5.303525817952870299e-05 1.000257641800117669e+00 1.000257657926031829e+00 2.826024596474767518e-08 1.000257652039877376e+00
-4.960937500000000000e+00 1.000000055579380664e-05 2.734750128263865320e-05 7.653488206362055090e-08 3.484319496447538427e+02 5.464302497792204033e-04 3.168505177631465291e-05 1.000257501271470728e+00 1.000257401477591124e+00 -1.822104409427075253e-08 1.000257433634374138e+00
-4.960937500000000000e+00 1.000000049986063818e-05 2.520623872698418054e-05 -8.716957799984545306e-08 3.484319906241680656e+02 2.320073532940425973e-04 -1.878717021457282555e-05 1.000257540790719268e+00 1.000257550474166202e+00 -1.139952177154967135e-08 1.000257545680848903e+00
-4.951171875000000000e+00 1.000000040247848674e-05 2.415683367575602685e-05 1.423218389266308205e-07 3.484320265392204305e+02 -1.274215709518230772e-04 1.637930623582373434e-05 1.000257575059003701e+00 1.000257665666312690e+00 -3.034091996356752713e-10 1.000257639042891444e+00
-4.941406250000000000e+00 1.000000038420616834e-05 1.510552348462583252e-05 2.359528379262280525e-06 3.484320280932435026e+02 -1.247942852396574534e-04 7.225629854234219508e-05 1.000257749900660853e+00 1.000257635532521006e+00 -3.890965061557583754e-08 1.000257641676384646e+00
-4.941406250000000000e+00 1.000000045996592169e-05 1.297338691438712701e-05 2.760445896392130423e-06 3.484320317044556532e+02 -1.826391570429923095e-04 1.246991526783705769e-04 1.000257786673047544e+00 1.000257624784398391e+00 -4.673275119363360020e-08 1.000257659621161643e+00
-4.931640625000000000e+00 1.000000022486909470e-05 2.868950141324838423e-05 4.522211596684914559e-07 3.484319673609703045e+02 3.497335753605924154e-04 -4.933286762259820474e-06 1.000257405359969765e+00 1.000257454546924274e+00 9.750913151902375883e-11 1.000257451392030150e+00
-4.921875000000000000e+00 1.000000042750314851e-05 2.211092605582542736e-06 -1.377486785482636375e-06 3.484320798572923650e+02 -6.342778356027303863e-04 -1.086793329890047043e-04 1.000257863930684943e+00 1.000257772153618774e+00 4.747257162258751005e-08 1.000257794608306661e+00
-4.921875000000000000e+00 1.000000037484621202e-05 6.833895447640020653e-06 -1.055017300865227142e-06 3.484320177937952394e+02 -3.013110522899108544e-05 -3.134465409387603721e-05 1.000257696181228173e+00 1.000257588828152411e+00 3.098824663902627060e-08 1.000257611173113403e+00
-4.912109375000000000e+00 1.000000027287984373e-05 1.625317217865303039e-05 1.240801797379561446e-07 3.484319787700268876e+02 3.263317468231595919e-04 1.841575448091450418e-05 1.000257453528804907e+00 1.000257500885672002e+00 -5.253955406685184481e-09 1.000257488946771911e+00
-4.902343750000000000e+00 1.000000018942246332e-05 3.369328759488803133e-06 -1.198919919282304874e-06 3.484320569795089568e+02 -6.065263501738864423e-04 -3.706453413751971258e-05 1.000257795950986184e+00 1.000257637592782523e+00 2.604447815349938182e-08 1.000257705117942653e+00
-4.902343749999999112e+00 1.000000022397004546e-05 -2.157434878286791780e-06 -1.567622879707225625e-06 3.484320768671179280e+02 -7.673406394596995290e-04 -6.086722814172201097e-05 1.000257837587281928e+00 1.000257741581063398e+00 3.090249928019510217e-08 1.000257765665737875e+00
-4.892578125000000000e+00 1.000000015568871212e-05 1.122783763401675879e-05 1.049943597735393120e-06 3.484319760648077136e+02 3.225434272134150939e-04 3.869014295642744111e-05 1.000257458245899622e+00 1.000257479159992968e+00 -2.289552201805405580e-08 1.000257469458661674e+00
-4.882812500000000000e+00 9.999999995696544897e-06 1.431161680865405798e-05 7.296608448632892314e-07 3.484319949669584275e+02 -1.762714885655862148e-04 -2.408879429528216598e-05 1.000257502645961249e+00 1.000257520669964650e+00 4.116017930471301562e-09 1.000257507718477656e+00
-4.882812499999999112e+00 1.000000005341122015e-05 8.255392482402414578e-06 -1.021791312185802038e-07 3.484320243284581124e+02 -3.758170942036272904e-04 -5.815899444569429011e-05 1.000257603435971809e+00 1.000257579312624046e+00 2.027690392838270854e-08 1.000257597780650043e+00
-4.873046875000000000e+00 1.000000015791543976e-05 1.510805387894269601e-06 -1.120296632669537568e-06 3.484320238012107893e+02 -1.054172993385104782e-04 -7.279783142023471662e-05 1.000257627084336631e+00 1.000257583453141752e+00 2.494202242075072544e-08 1.000257606720174275e+00
-4.863281250000000000e+00 1.000000009711492522e-05 7.270198419285155925e-06 -5.271520097069887423e-07 3.484319787827710115e+02 1.219396126268044691e-04 5.574582869341325019e-05 1.000257501936520521e+00 1.000257477628787806e+00 3.304663521330688353e-09 1.000257471402339782e+00
-4.863281249999999112e+00 1.000000018272024058e-05 2.936844750155707424e-06 -4.542822040843194464e-07 3.484320251355588312e+02 -3.388068513574550556e-04 -9.159035806986601670e-05 1.000257639505498952e+00 1.000257636019810992e+00 8.595359964472715922e-09 1.000257613031859005e+00
-4.853515625000000000e+00 1.000000013748830850e-05 6.296893149831422383e-06 1.409772799838376210e-06 3.484319822438988581e+02 1.418528304717345495e-04 5.743505269458047143e-05 1.000257444332393941e+00 1.000257516998349194e+00 -2.290727420928963794e-08 1.000257485376714328e+00
