#t=30.00000000000189 
# x rho, U:x, U:y, T, Q:x, p
-2.616820764472958189e-20 2.499959068336663967e-03 -1.584209739085437607e-02 -2.294295977761348695e+02 2.849217632202720552e+02 -2.399510102206427746e+03 1.482064414463292223e+02
7.142857142857139327e-05 2.420402829801678209e-03 1.218713589066718062e-02 -1.957672875084055875e+02 2.954117555473165453e+02 -2.078664764714135345e+03 1.487729531477209832e+02
1.428571428571428137e-04 2.354216662599624161e-03 2.981015829913314166e-02 -1.614598547870027119e+02 3.040152967798874215e+02 -1.730240606781038650e+03 1.489191070942811450e+02
2.142857142857142476e-04 2.301400566730488380e-03 3.582200583171876035e-02 -1.270495711045540048e+02 3.106132506615810485e+02 -1.366373044493585667e+03 1.487375942268759275e+02
2.857142857142856815e-04 2.261954542194277371e-03 2.930271868061913934e-02 -9.313941377919670117e+01 3.152780106047086974e+02 -1.000478936808426511e+03 1.483836714419613827e+02
3.571428571428570883e-04 2.235878588990988965e-03 9.706014796262676242e-03 -6.036417920090590172e+01 3.182877204291230555e+02 -6.465515246348385290e+02 1.480732672533592904e+02
4.285714285714286036e-04 2.223172707120623596e-03 -2.307470587593462436e-02 -2.935512928002469124e+01 3.201113631857807604e+02 -3.182811168256534415e+02 1.480753784577414933e+02
5.000000000000000104e-04 2.223836896583170856e-03 -6.867417462315025811e-02 -7.018317276985605035e-01 3.213635262074622574e+02 -2.809784632098082824e+01 1.486990089099736565e+02
4.999999999999999020e-04 2.223836896583178228e-03 6.867417462408953455e-02 7.018317277177084090e-01 3.213635262074607795e+02 2.809784632146745409e+01 1.486990089099734575e+02
5.714285714285713630e-04 2.223172707120616223e-03 2.307470587690259659e-02 2.935512928004379418e+01 3.201113631857820678e+02 3.182811168260014369e+02 1.480753784577416070e+02
6.428571428571427156e-04 2.235878588990990699e-03 -9.706014795703162001e-03 6.036417920092441847e+01 3.182877204291243061e+02 6.465515246351384349e+02 1.480732672533599725e+02
7.142857142857141767e-04 2.261954542194284309e-03 -2.930271868003718125e-02 9.313941377921352682e+01 3.152780106047061963e+02 1.000478936808766207e+03 1.483836714419606722e+02
7.857142857142856377e-04 2.301400566730507895e-03 -3.582200583141925687e-02 1.270495711045672351e+02 3.106132506615793432e+02 1.366373044493743919e+03 1.487375942268763538e+02
8.571428571428572072e-04 2.354216662599645411e-03 -2.981015829898794531e-02 1.614598547870133700e+02 3.040152967798849204e+02 1.730240606781115048e+03 1.489191070942812587e+02
9.285714285714286682e-04 2.420402829801705097e-03 -1.218713589064153793e-02 1.957672875084117550e+02 2.954117555473151810e+02 2.078664764714115336e+03 1.487729531477219496e+02
1.000000000000000021e-03 2.499959068336683916e-03 1.584209739087056104e-02 2.294295977761378822e+02 2.849217632202730783e+02 2.399510102206023021e+03 1.482064414463309561e+02
